Claim Number,City Code,City,Enterprise Type,Claim Type,Claim Site,Product Insured
DMLDDSEDKL,BOM,Mumbai,Private Ltd. MSME - Medium,Property Damage,Warehouse,Misc. Engineering Tools
99XU9FJFIH,THN,Thane,Joint-Venture Company,Property Loss,Warehouse,"Heating, ventilation, and air conditioning (HVAC) System"
HW9GTZXW68,BLR,Bangalore,Public Limited Company,Property Loss,Warehouse,Misc. Lab Equipment
E3V85JUWC1,IDR,Indore,Cooperative Society,Property Loss,Warehouse,Misc. Sensors
POHU7U73J8,DEL,Delhi,Sole Proprietorship,Property Loss,Other,Misc. Electrical Equipment
S5K4QP8UWB,STV,Surat,Non-Profit Organization (NPO),Property Damage,In Transit,Misc. Electronic Items
YT08TOM36N,JAI,Jaipur,One Person Company,Property Damage,In Transit,Inventory - Raw Material
0GFVMXVYWC,BOM,Mumbai,One Person Company,Property Loss,In Transit,Misc. Engineering Tools
LQ50BYA4JR,STV,Surat,Partnership Firm,Property Damage,In Transit,Inventory - Raw Material
KCK64F9NRT,NGP,Nagpur,Sole Proprietorship,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
JREHKJ80ST,DEL,Delhi,Private Limited Company,Property Loss,In Transit,Inventory - Raw Material
7MLA90LLAM,BHO,Bhopal,Sole Proprietorship,Property Loss,In Transit,Misc. Electrical Equipment
V6CS99L6ZU,BDQ,Vadodara,Sole Proprietorship,Property Damage,In Transit,Inventory - Raw Material
0FXR19T6O5,JAI,Jaipur,Partnership Firm,Property Loss,In Transit,Inventory - Raw Material
FIPCH1V1RG,AMD,Ahmedabad,Joint-Venture Company,Property Damage,Warehouse,Furniture
MNUHC0Q6U3,CJB,Coimbatore,Non-Profit Organization (NPO),Property Loss,In Transit,Inventory - Finished Goods
DEZ5LRKE61,DEL,Delhi,Non-Profit Organization (NPO),Property Loss,In Transit,Inventory - Finished Goods
EUFY8L0F5U,AGR,Agra,Sole Proprietorship,Property Loss,In Transit,Inventory - Raw Material
U9R7CYF3XG,BLR,Bangalore,One Person Company,Property Damage,In Transit,Misc. Electronic Items
541UVONW99,JAI,Jaipur,Private Ltd. MSME - Medium,Property Loss,In Transit,Inventory - Raw Material
T8L0YS6TV2,BLR,Bangalore,Public Limited Company,Property Loss,In Transit,Misc. Engineering Tools
NGQIBVTAZP,AMD,Ahmedabad,Private Ltd. MSME - Micro,Property Damage,In Transit,Inventory - Raw Material
K7268RBTLP,BLR,Bangalore,Public Limited Company,Property Loss,In Transit,Inventory - Raw Material
L4XMOW7JKF,BLR,Bangalore,Public Limited Company,Property Damage,In Transit,Inventory - Finished Goods
U7PPAHHH49,BLR,Bangalore,Sole Proprietorship,Property Loss,In Transit,Inventory - Raw Material
O1T3QSQAQ9,NGP,Nagpur,Sole Proprietorship,Property Damage,In Transit,Misc. Electronic Items
5NKC2Z87SP,AMD,Ahmedabad,Joint-Venture Company,Property Damage,In Transit,Inventory - Raw Material
T3MQKR3BOE,PAT,Patna,One Person Company,Property Loss,In Transit,Inventory - Finished Goods
K8346X18GV,AMD,Ahmedabad,Private Ltd. MSME - Micro,Property Damage,In Transit,Misc. Electronic Items
2NUGLPN45U,BOM,Mumbai,Joint-Venture Company,Property Loss,In Transit,Misc. Lab Equipment
RRN34PBMIZ,BOM,Mumbai,One Person Company,Property Damage,In Transit,Inventory - Finished Goods
CC14XNGB28,KNU,Kanpur,Joint-Venture Company,Property Loss,Warehouse,Inventory - Raw Material
1A82ZK2W2M,IDR,Indore,Public Limited Company,Property Damage,In Transit,Inventory - Raw Material
VEZQH7FRQP,NGP,Nagpur,Cooperative Society,Property Loss,Warehouse,Furniture
KJPMTDOG2U,DEL,Delhi,One Person Company,Property Damage,In Transit,Misc. Electronic Items
B7ED5TLUT5,DEL,Delhi,One Person Company,Property Loss,Warehouse,Misc. Engineering Tools
3XRXML3IPD,BHO,Bhopal,Joint-Venture Company,Property Damage,In Transit,Inventory - Raw Material
TO96M495E2,KNU,Kanpur,Limited Liability Parterneship (LLP),Property Loss,In Transit,Pumps and Motors
XY4WRKCTUM,BOM,Mumbai,Private Limited Company,Property Loss,In Transit,Misc. Engineering Tools
G9J9KAYHIK,MAA,Chennai,Sole Proprietorship,Property Loss,In Transit,Misc. Electrical Equipment
HHRQ1OCOO3,CCU,Kolkata,Private Limited Company,Property Loss,In Transit,Misc. Electrical Equipment
14FI7WEZAH,KNU,Kanpur,Sole Proprietorship,Property Damage,Warehouse,Furniture
EMJZMNUW59,JAI,Jaipur,Private Ltd. MSME - Medium,Property Damage,In Transit,Misc. Electronic Items
S2MK5SSZEF,THN,Thane,Sole Proprietorship,Property Damage,In Transit,Inventory - Raw Material
J9IGH9SCSX,KNU,Kanpur,Private Ltd. MSME - Micro,Property Damage,In Transit,Inventory - Finished Goods
NK43MT68NU,PAT,Patna,One Person Company,Property Damage,In Transit,Inventory - Finished Goods
Y2D8HPPWY8,AMD,Ahmedabad,Partnership Firm,Property Damage,In Transit,Misc. Electrical Equipment
432DABQ8TS,STV,Surat,Private Limited Company,Property Damage,Warehouse,Misc. Electronic Items
KF3HFAIAP6,NGP,Nagpur,Sole Proprietorship,Property Loss,In Transit,Furniture
GLTT79JJIW,BLR,Bangalore,Public Limited Company,Property Loss,In Transit,Fixtures
5G772TRGVE,BDQ,Vadodara,Private Limited Company,Property Damage,Warehouse,Furniture
KWF0IQTNNJ,HYD,Hyderabad,One Person Company,Property Loss,In Transit,Misc. Engineering Tools
I87WJ57DDB,DEL,Delhi,Sole Proprietorship,Property Damage,In Transit,Furniture
RGKGKCDPV3,MAA,Chennai,Public Limited Company,Property Loss,Warehouse,Misc. Engineering Tools
DEB3LSA6O1,BDQ,Vadodara,Non-Profit Organization (NPO),Property Damage,In Transit,Misc. Electronic Items
9N9DFZA3UN,HYD,Hyderabad,Private Limited Company,Property Loss,In Transit,Inventory - Raw Material
66PJVKDIEO,BLR,Bangalore,Public Limited Company,Property Loss,In Transit,Inventory - Raw Material
UZFQKT4LAH,PNQ,Pune,Partnership Firm,Property Damage,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
041WNWHAY9,JAI,Jaipur,Joint-Venture Company,Property Loss,In Transit,Pumps and Motors
SFV9ZMSQ9P,CJB,Coimbatore,Joint-Venture Company,Property Loss,Warehouse,"Heating, ventilation, and air conditioning (HVAC) System"
KDSEGHEEZE,PNQ,Pune,One Person Company,Property Damage,In Transit,Misc. Engineering Tools
UTHNCAJANZ,BOM,Mumbai,One Person Company,Property Loss,In Transit,Misc. Engineering Tools
5PSBNNNW05,BDQ,Vadodara,One Person Company,Property Loss,In Transit,Misc. Electrical Equipment
JUTI37MIOB,PAT,Patna,Foreign Subsidary,Property Loss,In Transit,Fixtures
UJR6K1UR7S,NGP,Nagpur,Sole Proprietorship,Property Damage,Warehouse,Misc. Electronic Items
C458CRHWK5,DEL,Delhi,Sole Proprietorship,Property Loss,In Transit,Inventory - Raw Material
DLUYVV1OLS,MAA,Chennai,Sole Proprietorship,Property Damage,In Transit,Misc. Electronic Items
UM836NH4BI,BOM,Mumbai,Partnership Firm,Property Damage,Warehouse,"Property, Plant, and Equipment (PPE) Parts"
A4GILR1YCY,HYD,Hyderabad,Sole Proprietorship,Property Loss,In Transit,Fixtures
CU6YTHU20O,STV,Surat,Non-Profit Organization (NPO),Property Loss,In Transit,Inventory - Raw Material
SDOP0KTRTK,PNQ,Pune,Sole Proprietorship,Property Damage,Warehouse,Furniture
BZMIFD0PJI,LKO,Lucknow,Partnership Firm,Property Damage,In Transit,Fixtures
LWTNE43JDL,LKO,Lucknow,Sole Proprietorship,Property Loss,In Transit,Misc. Lab Equipment
TFT7HTY5OL,BOM,Mumbai,Private Limited Company,Property Loss,In Transit,Furniture
I2P6YG39N0,BOM,Mumbai,Private Limited Company,Property Damage,In Transit,Misc. Electronic Items
1NQIO3PR5S,STV,Surat,Non-Profit Organization (NPO),Property Loss,Warehouse,Misc. Sensors
B5EUP8UIPG,AMD,Ahmedabad,One Person Company,Property Loss,In Transit,Fixtures
IQLZY4RKNV,THN,Thane,Joint-Venture Company,Property Damage,In Transit,Misc. Electronic Items
Q2SL47OQD0,DEL,Delhi,One Person Company,Property Damage,In Transit,Misc. Electronic Items
7KAX70DEOV,THN,Thane,One Person Company,Property Loss,Warehouse,Furniture
AGW25CQHRQ,HYD,Hyderabad,Private Limited Company,Property Damage,In Transit,Inventory - Finished Goods
D8FGULDI3D,NGP,Nagpur,Sole Proprietorship,Property Damage,In Transit,Misc. Electronic Items
B1K84T7KYZ,LKO,Lucknow,One Person Company,Property Damage,In Transit,Misc. Electronic Items
HE9Z78VCMI,DEL,Delhi,Private Limited Company,Property Damage,Warehouse,Inventory - Finished Goods
JMCTYDK98R,PNQ,Pune,Sole Proprietorship,Property Loss,In Transit,Misc. Sensors
24253X9HU4,BHO,Bhopal,Joint-Venture Company,Property Loss,In Transit,Inventory - Raw Material
A95KZL17QQ,BOM,Mumbai,Sole Proprietorship,Property Damage,In Transit,Misc. Electronic Items
0C3TAORP4N,STV,Surat,Non-Profit Organization (NPO),Property Loss,In Transit,Misc. Engineering Tools
QMG51N5XQH,AGR,Agra,Private Ltd. MSME - Micro,Property Loss,In Transit,Misc. Electronic Items
ZV7U4YO9YS,BOM,Mumbai,Partnership Firm,Property Loss,In Transit,Furniture
N136PQP8A7,HYD,Hyderabad,One Person Company,Property Damage,In Transit,Misc. Electronic Items
D7TTE9KVDQ,ATQ,Amritsar,Partnership Firm,Property Damage,In Transit,Misc. Electronic Items
2ZJ3ZY20AB,VSK,Visakhapatnam,Private Limited Company,Property Damage,In Transit,Furniture
W84CXQV1DU,IDR,Indore,Private Limited Company,Property Loss,In Transit,Misc. Engineering Tools
XOLAM6DSA2,LKO,Lucknow,Public Limited Company,Property Loss,In Transit,Inventory - Finished Goods
GJ60DBGPF6,LKO,Lucknow,Joint-Venture Company,Property Loss,In Transit,Inventory - Raw Material
DBUVJXYICK,CCU,Kolkata,Sole Proprietorship,Property Loss,In Transit,Misc. Electrical Equipment
ZEWZS47J1X,LKO,Lucknow,Non-Profit Organization (NPO),Property Loss,In Transit,Misc. Electrical Equipment
U50I9HLWEG,ATQ,Amritsar,Partnership Firm,Property Loss,In Transit,Inventory - Raw Material
4IAXWOB00P,ATQ,Amritsar,Private Limited Company,Property Loss,In Transit,Misc. Engineering Tools
5JPC2YYOCU,CCU,Kolkata,Private Limited Company,Property Damage,In Transit,Misc. Electronic Items
AFKTKCMR4J,STV,Surat,Non-Profit Organization (NPO),Property Damage,In Transit,Misc. Electronic Items
2PXVCUWIUQ,STV,Surat,Private Limited Company,Property Damage,Warehouse,Misc. Electronic Items
PL2KA855ST,BHO,Bhopal,Joint-Venture Company,Property Loss,In Transit,Inventory - Finished Goods
8JB0945KEL,BDQ,Vadodara,Private Limited Company,Property Loss,In Transit,Misc. Engineering Tools
0RVTICQ3R2,NGP,Nagpur,Cooperative Society,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
CKLH8GHZQ4,KNU,Kanpur,Sole Proprietorship,Property Loss,In Transit,Inventory - Raw Material
D1NH9VYMWX,BLR,Bangalore,Public Limited Company,Property Damage,In Transit,Misc. Electronic Items
QN0EOZZN3Y,HYD,Hyderabad,Foreign Subsidary,Property Loss,In Transit,Furniture
Y5EUGU0FNM,AGR,Agra,Private Limited Company,Property Damage,In Transit,Misc. Electronic Items
JQSWLC5KT3,IDR,Indore,Foreign Subsidary,Property Damage,In Transit,Inventory - Raw Material
IRZR7EOKR1,MAA,Chennai,Private Limited Company,Property Damage,In Transit,Misc. Engineering Tools
AP09ULBWUX,IDR,Indore,Private Limited Company,Property Damage,In Transit,Misc. Electronic Items
DHONJAKHBD,CCU,Kolkata,Private Limited Company,Property Loss,In Transit,Cameras and other Misc. Security Equipment
JN4QA1SY3Y,AMD,Ahmedabad,Private Ltd. MSME - Micro,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
XAL4UXXH4R,STV,Surat,One Person Company,Property Damage,In Transit,Misc. Engineering Tools
NE3UZK4WXH,MAA,Chennai,Private Ltd. MSME - Micro,Property Damage,In Transit,Inventory - Raw Material
DAUNPJICEI,IDR,Indore,Public Limited Company,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
9WBCL93ABB,BOM,Mumbai,One Person Company,Property Loss,In Transit,Misc. Electrical Equipment
S0H37P9256,LKO,Lucknow,Partnership Firm,Property Loss,In Transit,Inventory - Raw Material
Z5VGPFR6JJ,DEL,Delhi,Sole Proprietorship,Property Damage,In Transit,Misc. Engineering Tools
LHGXBSGUG4,VSK,Visakhapatnam,Partnership Firm,Property Damage,In Transit,Misc. Electronic Items
Y0SS0CL034,HYD,Hyderabad,Foreign Subsidary,Property Damage,In Transit,Misc. Engineering Tools
ONED2RF3VU,THN,Thane,Private Limited Company,Property Damage,In Transit,Fixtures
5RL7X0M7DD,PAT,Patna,Sole Proprietorship,Property Damage,In Transit,Misc. Electrical Equipment
11G89974QT,PNQ,Pune,Partnership Firm,Property Loss,In Transit,Pumps and Motors
V96UPW6WRB,BHO,Bhopal,Joint-Venture Company,Property Loss,In Transit,Misc. Engineering Tools
ZMYJS9K3GB,PNQ,Pune,Non-Profit Organization (NPO),Property Damage,In Transit,Misc. Electrical Equipment
IQN9O4C6OK,BOM,Mumbai,One Person Company,Property Damage,In Transit,Misc. Electronic Items
Z8WWD6LPO1,AMD,Ahmedabad,Joint-Venture Company,Property Damage,Warehouse,Misc. Engineering Tools
R8GIACFHND,AMD,Ahmedabad,Private Ltd. MSME - Micro,Property Damage,Warehouse,Misc. Electronic Items
CQPAHAP1X3,THN,Thane,Sole Proprietorship,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
QZMIVSVNKR,BHO,Bhopal,Joint-Venture Company,Property Loss,In Transit,Misc. Electrical Equipment
XWW0O8YGOI,NSK,Nashik,Public Limited Company,Property Damage,In Transit,Misc. Electronic Items
1W2ERLPC90,BLR,Bangalore,Public Limited Company,Property Loss,Other,"Heating, ventilation, and air conditioning (HVAC) System"
9AWCJH8NO5,STV,Surat,Non-Profit Organization (NPO),Property Loss,Other,Inventory - Raw Material
F0LGPQ9AAJ,BOM,Mumbai,One Person Company,Property Loss,In Transit,Furniture
FB0PWLDE34,LKO,Lucknow,Partnership Firm,Property Damage,In Transit,Inventory - Finished Goods
3ZI6KS1IU7,BOM,Mumbai,One Person Company,Property Loss,In Transit,Inventory - Raw Material
96EDOBWBE0,PNQ,Pune,Sole Proprietorship,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
3EAS8DV6X2,DEL,Delhi,One Person Company,Property Damage,In Transit,Misc. Electronic Items
OBEYC7FSCM,BLR,Bangalore,Public Limited Company,Property Damage,In Transit,Misc. Electronic Items
33NNV34XDD,BHO,Bhopal,Joint-Venture Company,Property Damage,Warehouse,Misc. Engineering Tools
FOW6Z187OO,PAT,Patna,One Person Company,Property Damage,In Transit,Inventory - Finished Goods
CTVLX9AWZO,STV,Surat,Non-Profit Organization (NPO),Property Loss,In Transit,Inventory - Raw Material
Y8JW5HBW6P,NGP,Nagpur,Private Limited Company,Property Loss,In Transit,Misc. Engineering Tools
FKMO0ROCR1,BLR,Bangalore,Public Limited Company,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
AM9MUNM6T2,JAI,Jaipur,Public Limited Company,Property Loss,In Transit,Misc. Electrical Equipment
BEEX1NX6P7,MAA,Chennai,Joint-Venture Company,Property Loss,In Transit,Misc. Electrical Equipment
5VH3DY7UE3,BOM,Mumbai,Private Limited Company,Property Loss,In Transit,Misc. Lab Equipment
APSXC13ATZ,BLR,Bangalore,One Person Company,Property Loss,In Transit,Inventory - Raw Material
S2SVQHMIEQ,VSK,Visakhapatnam,Foreign Subsidary,Property Loss,In Transit,Inventory - Raw Material
QG9TPVI4H8,BOM,Mumbai,Joint-Venture Company,Property Loss,In Transit,Misc. Lab Equipment
EGGFWIEFHO,DEL,Delhi,One Person Company,Property Loss,In Transit,Misc. Electrical Equipment
4O5N1YZQJJ,LKO,Lucknow,Public Limited Company,Property Damage,Warehouse,Misc. Electronic Items
WCZ682PNOH,BDQ,Vadodara,Private Limited Company,Property Damage,In Transit,Inventory - Raw Material
0HEZCJWYCA,JAI,Jaipur,One Person Company,Property Damage,Warehouse,Misc. Engineering Tools
OPVRKPMIT7,NGP,Nagpur,Private Limited Company,Property Damage,In Transit,Inventory - Raw Material
XM5F1RE4KK,CCU,Kolkata,Limited Liability Parterneship (LLP),Property Loss,Warehouse,Misc. Electrical Equipment
TSTZT2SE0U,CCU,Kolkata,Private Limited Company,Property Loss,In Transit,Furniture
T2QPDLDC4E,JAI,Jaipur,Joint-Venture Company,Property Loss,In Transit,Misc. Engineering Tools
LV75SJXHOP,BDQ,Vadodara,Private Ltd. MSME - Micro,Property Loss,In Transit,Cameras and other Misc. Security Equipment
39ROHY8NAV,STV,Surat,Sole Proprietorship,Property Loss,In Transit,Misc. Engineering Tools
2MH8GQ67RE,AGR,Agra,Partnership Firm,Property Loss,In Transit,Inventory - Raw Material
V4MP3UKAUW,AMD,Ahmedabad,Private Ltd. MSME - Micro,Property Damage,In Transit,Misc. Electronic Items
RUI1B1MNB1,AMD,Ahmedabad,Sole Proprietorship,Property Loss,Warehouse,Misc. Engineering Tools
UPS3RCYIQI,THN,Thane,Public Limited Company,Property Loss,In Transit,Inventory - Finished Goods
H89U0VPYGT,LKO,Lucknow,Private Ltd. MSME - Medium,Property Damage,In Transit,Inventory - Finished Goods
CU4BKWWM2F,AMD,Ahmedabad,Sole Proprietorship,Property Loss,In Transit,Inventory - Finished Goods
HIYTYJL5XE,BLR,Bangalore,Private Limited Company,Property Loss,In Transit,Inventory - Raw Material
K7EAI5ZIRJ,BDQ,Vadodara,Joint-Venture Company,Property Damage,Warehouse,Pumps and Motors
6F4LN592VB,MAA,Chennai,Private Limited Company,Property Loss,In Transit,Inventory - Finished Goods
5XS4OSR1ZY,AGR,Agra,Partnership Firm,Property Damage,In Transit,Inventory - Raw Material
D2PTLUTQOY,PAT,Patna,Joint-Venture Company,Property Damage,Warehouse,Misc. Electrical Equipment
LIBH6LKN6O,STV,Surat,Private Limited Company,Property Damage,In Transit,Inventory - Finished Goods
AYFJJQHUYB,BOM,Mumbai,One Person Company,Property Loss,In Transit,Misc. Electronic Items
3QHPT3GG0U,BOM,Mumbai,Private Ltd. MSME - Micro,Property Loss,Warehouse,Misc. Lab Equipment
W5KVBO0M4R,DEL,Delhi,One Person Company,Property Loss,In Transit,Misc. Electrical Equipment
N8TXXAWM15,BLR,Bangalore,Public Limited Company,Property Loss,In Transit,Misc. Engineering Tools
SEZ2D354G4,HYD,Hyderabad,Private Limited Company,Property Loss,In Transit,Inventory - Finished Goods
UU4J2QT3X3,NGP,Nagpur,One Person Company,Property Loss,In Transit,Inventory - Raw Material
KD2AXKD430,HYD,Hyderabad,Sole Proprietorship,Property Loss,In Transit,Misc. Engineering Tools
4NVEUY83FR,LKO,Lucknow,Joint-Venture Company,Property Loss,In Transit,Inventory - Finished Goods
5CMDTFL8SP,AMD,Ahmedabad,Public Limited Company,Property Loss,In Transit,Misc. Electrical Equipment
F190XEIDSU,CCU,Kolkata,Private Limited Company,Property Damage,In Transit,Misc. Electronic Items
NRHNY8NOHM,KNU,Kanpur,Sole Proprietorship,Property Loss,In Transit,Inventory - Raw Material
37YFGMQSWG,LKO,Lucknow,Private Ltd. MSME - Medium,Property Loss,In Transit,Pumps and Motors
WREAY2151R,JAI,Jaipur,Joint-Venture Company,Property Loss,In Transit,Misc. Engineering Tools
PX24XBU34C,VSK,Visakhapatnam,Non-Profit Organization (NPO),Property Damage,In Transit,Misc. Electronic Items
KC6TVB0VHV,CCU,Kolkata,One Person Company,Property Damage,Warehouse,Furniture
454LGT4C56,MAA,Chennai,Non-Profit Organization (NPO),Property Damage,In Transit,Inventory - Raw Material
NES1XSUHF1,MAA,Chennai,Private Ltd. MSME - Micro,Property Loss,In Transit,Inventory - Finished Goods
WG156DWPSE,JAI,Jaipur,Private Limited Company,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
9Y5CELVD3M,THN,Thane,One Person Company,Property Damage,In Transit,Misc. Electronic Items
DPU5DGNW1Y,KNU,Kanpur,Sole Proprietorship,Property Loss,In Transit,Inventory - Raw Material
69MB2I9R28,CJB,Coimbatore,Joint-Venture Company,Property Damage,In Transit,Misc. Engineering Tools
ZIU229FJGW,BLR,Bangalore,Public Limited Company,Property Loss,In Transit,Misc. Engineering Tools
XVOP1XN9GN,IDR,Indore,Sole Proprietorship,Property Loss,In Transit,Inventory - Raw Material
9JC3FIHCWG,BOM,Mumbai,One Person Company,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
W03J3UG5U0,DEL,Delhi,Sole Proprietorship,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
VINI3OAHYF,MAA,Chennai,Private Limited Company,Property Loss,In Transit,Inventory - Raw Material
NDZI4SIRPA,STV,Surat,Non-Profit Organization (NPO),Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
M0AQB0HZ3E,BOM,Mumbai,Private Limited Company,Property Loss,In Transit,Furniture
JVIT5R81HQ,NSK,Nashik,Private Limited Company,Property Damage,In Transit,Misc. Engineering Tools
EDV33ICAU7,AMD,Ahmedabad,One Person Company,Property Damage,In Transit,Inventory - Finished Goods
85MYOFG53E,BLR,Bangalore,Public Limited Company,Property Damage,In Transit,Misc. Electronic Items
URLHC7NBBG,LKO,Lucknow,Private Ltd. MSME - Medium,Property Loss,In Transit,Inventory - Raw Material
RTKP4ZU2CD,THN,Thane,Private Ltd. MSME - Small,Property Damage,Warehouse,Cameras and other Misc. Security Equipment
7ESEQUC6LN,VSK,Visakhapatnam,One Person Company,Property Damage,In Transit,Misc. Electronic Items
BUFBND75DW,BLR,Bangalore,Public Limited Company,Property Damage,In Transit,Misc. Electronic Items
QHM5QY0EWW,PNQ,Pune,Foreign Subsidary,Property Loss,Warehouse,Misc. Lab Equipment
6ZZ90VJYH9,STV,Surat,Private Limited Company,Property Loss,In Transit,Furniture
1MMFXYRC6L,LKO,Lucknow,Private Limited Company,Property Damage,In Transit,Misc. Electronic Items
0DPYV8TWGE,BLR,Bangalore,Public Limited Company,Property Loss,In Transit,Pumps and Motors
HEIINYR4FB,VSK,Visakhapatnam,Non-Profit Organization (NPO),Property Loss,In Transit,Inventory - Raw Material
LWZVWIDXE8,JAI,Jaipur,Private Ltd. MSME - Medium,Property Damage,In Transit,Misc. Electronic Items
2GE8W8Z6B6,BLR,Bangalore,Public Limited Company,Property Loss,In Transit,"Property, Plant, and Equipment (PPE) Parts"
7MZ1QQCODJ,CJB,Coimbatore,One Person Company,Property Damage,In Transit,Misc. Electronic Items
XKUL3T27XR,MAA,Chennai,Private Limited Company,Property Loss,In Transit,Misc. Engineering Tools
5F4HEPDKST,DEL,Delhi,One Person Company,Property Loss,Warehouse,Misc. Lab Equipment
5R696DJ4D1,DEL,Delhi,One Person Company,Property Damage,In Transit,Misc. Electronic Items
CU7840L3L1,AMD,Ahmedabad,Private Ltd. MSME - Micro,Property Loss,In Transit,Inventory - Raw Material
LY33QT3GNX,JAI,Jaipur,Partnership Firm,Property Loss,Warehouse,Inventory - Raw Material
B69I39LRCL,DEL,Delhi,One Person Company,Property Loss,Warehouse,Inventory - Raw Material
GN029XRQ0D,CCU,Kolkata,Private Limited Company,Property Loss,In Transit,Inventory - Raw Material
9E7KQIDF94,STV,Surat,Private Limited Company,Property Damage,In Transit,Misc. Electronic Items
Z1SMWNY2QT,BHO,Bhopal,Partnership Firm,Property Loss,In Transit,Furniture
QKAHLQYHU0,CCU,Kolkata,Public Limited Company,Property Damage,In Transit,Furniture
JQ93N37EKD,DEL,Delhi,One Person Company,Property Loss,In Transit,Furniture
INQV68QNZX,HYD,Hyderabad,One Person Company,Property Loss,In Transit,Misc. Electrical Equipment
GXECSRSL0J,DEL,Delhi,One Person Company,Property Damage,In Transit,Inventory - Raw Material
JSR8GCLOAC,JAI,Jaipur,Public Limited Company,Property Loss,In Transit,Inventory - Raw Material
IHH9TF7230,AGR,Agra,Joint-Venture Company,Property Loss,In Transit,Inventory - Raw Material
K8RL9MRY32,AGR,Agra,One Person Company,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
QLWDHEEN3Z,NGP,Nagpur,Sole Proprietorship,Property Loss,In Transit,Misc. Engineering Tools
YURFC5H7XP,BLR,Bangalore,Public Limited Company,Property Loss,In Transit,Misc. Electrical Equipment
0XE7ZPIFA3,DEL,Delhi,One Person Company,Property Damage,In Transit,Misc. Electrical Equipment
MI8S14MPIQ,LKO,Lucknow,Joint-Venture Company,Property Loss,In Transit,Misc. Engineering Tools
FMPOKZUDK6,BLR,Bangalore,Public Limited Company,Property Damage,In Transit,Misc. Electronic Items
YO4HLRG9YF,DEL,Delhi,Public Limited Company,Property Loss,In Transit,Inventory - Raw Material
SUE8LNIQGD,NSK,Nashik,Public Limited Company,Property Damage,In Transit,Misc. Electronic Items
FQXRFMIHQJ,PNQ,Pune,Non-Profit Organization (NPO),Property Loss,In Transit,Inventory - Raw Material
I17XZPYU84,DEL,Delhi,Private Limited Company,Property Loss,Warehouse,Inventory - Raw Material
88HK8PHWCM,AMD,Ahmedabad,Joint-Venture Company,Property Damage,In Transit,Misc. Electronic Items
86Z4VOCAL7,THN,Thane,Partnership Firm,Property Loss,In Transit,Inventory - Finished Goods
WRNUBMBQES,PAT,Patna,One Person Company,Property Loss,In Transit,Fixtures
A51BQ9FDTB,VSK,Visakhapatnam,Limited Liability Parterneship (LLP),Property Loss,In Transit,Furniture
7AZ98XER86,PNQ,Pune,Cooperative Society,Property Damage,In Transit,Inventory - Raw Material
C3O9DHD7DQ,JAI,Jaipur,Private Ltd. MSME - Micro,Property Damage,Warehouse,Furniture
WC8K9A40K5,VSK,Visakhapatnam,Limited Liability Parterneship (LLP),Property Loss,In Transit,Misc. Lab Equipment
060SXGO7FL,CCU,Kolkata,Private Limited Company,Property Damage,In Transit,Inventory - Raw Material
7VKQUYTSY9,IDR,Indore,Cooperative Society,Property Loss,Warehouse,"Heating, ventilation, and air conditioning (HVAC) System"
X0QUQ7ICIK,CJB,Coimbatore,Joint-Venture Company,Property Loss,In Transit,Misc. Engineering Tools
RCQN5S2I2Q,PAT,Patna,Private Limited Company,Property Loss,In Transit,Misc. Engineering Tools
4RXIVJARFI,AMD,Ahmedabad,Private Ltd. MSME - Micro,Property Damage,In Transit,Inventory - Raw Material
Q91KSXSK49,MAA,Chennai,Private Limited Company,Property Loss,Warehouse,Misc. Engineering Tools
DEAI3RELPT,CJB,Coimbatore,Joint-Venture Company,Property Damage,In Transit,Inventory - Raw Material
UVLLPIG4K0,AGR,Agra,Sole Proprietorship,Property Damage,In Transit,Misc. Electronic Items
7FGC0VJPZ4,BOM,Mumbai,One Person Company,Property Loss,In Transit,Misc. Engineering Tools
IZQSJPU1QY,IDR,Indore,Sole Proprietorship,Property Loss,In Transit,Misc. Lab Equipment
HUV6F3TTQ3,PNQ,Pune,Partnership Firm,Property Loss,Warehouse,Misc. Electrical Equipment
3OJOZQRA7S,THN,Thane,Private Ltd. MSME - Small,Property Damage,Warehouse,Fixtures
4HEYUAFL33,NGP,Nagpur,Public Limited Company,Property Loss,In Transit,Inventory - Raw Material
8B5WBHF794,THN,Thane,Private Ltd. MSME - Small,Property Damage,Warehouse,Inventory - Raw Material
N1WWH6QLXC,BOM,Mumbai,Private Ltd. MSME - Micro,Property Loss,In Transit,Misc. Electrical Equipment
FBGQSCQTTI,BHO,Bhopal,Partnership Firm,Property Loss,In Transit,Misc. Engineering Tools
